case,dataset,sample,iterations,ns,allocations,reallocations,allocated_bytes,reallocated_bytes
source_full,all_active_10000,0,32,4156400,0,0,0,0
source_full,all_active_10000,1,32,5096800,0,0,0,0
source_full,all_active_10000,2,32,5252500,0,0,0,0
source_full,all_active_10000,3,32,4698000,0,0,0,0
source_full,all_active_10000,4,32,4128200,0,0,0,0
source_full,all_active_10000,5,32,4093400,0,0,0,0
source_full,all_active_10000,6,32,4086200,0,0,0,0
adapter_full,all_active_10000,0,32,45848300,0,0,0,0
adapter_full,all_active_10000,1,32,54945000,0,0,0,0
adapter_full,all_active_10000,2,32,73615000,0,0,0,0
adapter_full,all_active_10000,3,32,87022400,0,0,0,0
adapter_full,all_active_10000,4,32,77614300,0,0,0,0
adapter_full,all_active_10000,5,32,46095500,0,0,0,0
adapter_full,all_active_10000,6,32,43848100,0,0,0,0
transform_convert,all_active_10000,0,32,368300,0,0,0,0
transform_convert,all_active_10000,1,32,383400,0,0,0,0
transform_convert,all_active_10000,2,32,363900,0,0,0,0
transform_convert,all_active_10000,3,32,368300,0,0,0,0
transform_convert,all_active_10000,4,32,367900,0,0,0,0
transform_convert,all_active_10000,5,32,373100,0,0,0,0
transform_convert,all_active_10000,6,32,374200,0,0,0,0
fresh_output,all_active_10000,0,32,87108700,0,0,0,0
fresh_output,all_active_10000,1,32,87363100,0,0,0,0
fresh_output,all_active_10000,2,32,74885400,0,0,0,0
fresh_output,all_active_10000,3,32,87572900,0,0,0,0
fresh_output,all_active_10000,4,32,87204800,0,0,0,0
fresh_output,all_active_10000,5,32,84974200,0,0,0,0
fresh_output,all_active_10000,6,32,86847600,0,0,0,0
alternate,all_active_10000,0,32,73876300,0,0,0,0
alternate,all_active_10000,1,32,78995900,0,0,0,0
alternate,all_active_10000,2,32,75233400,0,0,0,0
alternate,all_active_10000,3,32,73193500,0,0,0,0
alternate,all_active_10000,4,32,69539400,0,0,0,0
alternate,all_active_10000,5,32,76174100,0,0,0,0
alternate,all_active_10000,6,32,81835900,0,0,0,0
source_full,all_active_100000,0,32,49306700,0,0,0,0
source_full,all_active_100000,1,32,44643000,0,0,0,0
source_full,all_active_100000,2,32,70916900,0,0,0,0
source_full,all_active_100000,3,32,75827100,0,0,0,0
source_full,all_active_100000,4,32,52040900,0,0,0,0
source_full,all_active_100000,5,32,43940500,0,0,0,0
source_full,all_active_100000,6,32,43915600,0,0,0,0
adapter_full,all_active_100000,0,32,453893000,0,0,0,0
adapter_full,all_active_100000,1,32,460480600,0,0,0,0
adapter_full,all_active_100000,2,32,462212200,0,0,0,0
adapter_full,all_active_100000,3,32,454096900,0,0,0,0
adapter_full,all_active_100000,4,32,453923300,0,0,0,0
adapter_full,all_active_100000,5,32,449257800,0,0,0,0
adapter_full,all_active_100000,6,32,448475000,0,0,0,0
transform_convert,all_active_100000,0,32,4043600,0,0,0,0
transform_convert,all_active_100000,1,32,3965100,0,0,0,0
transform_convert,all_active_100000,2,32,3833500,0,0,0,0
transform_convert,all_active_100000,3,32,3850100,0,0,0,0
transform_convert,all_active_100000,4,32,4617000,0,0,0,0
transform_convert,all_active_100000,5,32,4049500,0,0,0,0
transform_convert,all_active_100000,6,32,7420200,0,0,0,0
fresh_output,all_active_100000,0,32,480446200,0,0,0,0
fresh_output,all_active_100000,1,32,611034800,0,0,0,0
fresh_output,all_active_100000,2,32,542775000,0,0,0,0
fresh_output,all_active_100000,3,32,474761500,0,0,0,0
fresh_output,all_active_100000,4,32,486583600,0,0,0,0
fresh_output,all_active_100000,5,32,474753500,0,0,0,0
fresh_output,all_active_100000,6,32,495527100,0,0,0,0
alternate,all_active_100000,0,32,451710300,0,0,0,0
alternate,all_active_100000,1,32,464610200,0,0,0,0
alternate,all_active_100000,2,32,470261500,0,0,0,0
alternate,all_active_100000,3,32,471585700,0,0,0,0
alternate,all_active_100000,4,32,464816900,0,0,0,0
alternate,all_active_100000,5,32,466570700,0,0,0,0
alternate,all_active_100000,6,32,479043400,0,0,0,0
source_full,mixed_parking_10000,0,32,11565700,0,0,0,0
source_full,mixed_parking_10000,1,32,9794000,0,0,0,0
source_full,mixed_parking_10000,2,32,9050400,0,0,0,0
source_full,mixed_parking_10000,3,32,9154400,0,0,0,0
source_full,mixed_parking_10000,4,32,8978900,0,0,0,0
source_full,mixed_parking_10000,5,32,9743800,0,0,0,0
source_full,mixed_parking_10000,6,32,9235200,0,0,0,0
