case,n,k,sample,iterations,ns,allocations,reallocations,allocated_bytes,reallocated_bytes
runtime_sources,10000,10000,0,32,6024300,0,0,0,0
runtime_sources,10000,10000,1,32,5557300,0,0,0,0
runtime_sources,10000,10000,2,32,5130500,0,0,0,0
runtime_sources,10000,10000,3,32,5090600,0,0,0,0
runtime_sources,10000,10000,4,32,5193300,0,0,0,0
runtime_sources,10000,10000,5,32,4847600,0,0,0,0
runtime_sources,10000,10000,6,32,5713300,0,0,0,0
spatial_full,10000,10000,0,32,91945900,0,0,0,0
spatial_full,10000,10000,1,32,99562100,0,0,0,0
spatial_full,10000,10000,2,32,87683700,0,0,0,0
spatial_full,10000,10000,3,32,92037200,0,0,0,0
spatial_full,10000,10000,4,32,103213600,0,0,0,0
spatial_full,10000,10000,5,32,96234700,0,0,0,0
spatial_full,10000,10000,6,32,103429900,0,0,0,0
record_copy_kernel,10000,10000,0,32,285300,0,0,0,0
record_copy_kernel,10000,10000,1,32,343300,0,0,0,0
record_copy_kernel,10000,10000,2,32,341700,0,0,0,0
record_copy_kernel,10000,10000,3,32,369500,0,0,0,0
record_copy_kernel,10000,10000,4,32,311600,0,0,0,0
record_copy_kernel,10000,10000,5,32,318000,0,0,0,0
record_copy_kernel,10000,10000,6,32,307000,0,0,0,0
record_swap_kernel,10000,10000,0,32,300,0,0,0,0
record_swap_kernel,10000,10000,1,32,200,0,0,0,0
record_swap_kernel,10000,10000,2,32,200,0,0,0,0
record_swap_kernel,10000,10000,3,32,200,0,0,0,0
record_swap_kernel,10000,10000,4,32,500,0,0,0,0
record_swap_kernel,10000,10000,5,32,200,0,0,0,0
record_swap_kernel,10000,10000,6,32,200,0,0,0,0
adapter_full,10000,10000,0,32,107715900,0,0,0,0
adapter_full,10000,10000,1,32,106984300,0,0,0,0
adapter_full,10000,10000,2,32,80778700,0,0,0,0
adapter_full,10000,10000,3,32,55271000,0,0,0,0
adapter_full,10000,10000,4,32,56448300,0,0,0,0
adapter_full,10000,10000,5,32,51627300,0,0,0,0
adapter_full,10000,10000,6,32,51857200,0,0,0,0
product_selected_probe,10000,10000,0,32,50236500,0,0,0,0
product_selected_probe,10000,10000,1,32,51000600,0,0,0,0
product_selected_probe,10000,10000,2,32,52459000,0,0,0,0
product_selected_probe,10000,10000,3,32,51786100,0,0,0,0
product_selected_probe,10000,10000,4,32,52307800,0,0,0,0
product_selected_probe,10000,10000,5,32,46445200,0,0,0,0
product_selected_probe,10000,10000,6,32,47036800,0,0,0,0
transform_full_before_select,10000,10000,0,32,34556200,0,0,0,0
transform_full_before_select,10000,10000,1,32,33644300,0,0,0,0
transform_full_before_select,10000,10000,2,32,36576900,0,0,0,0
transform_full_before_select,10000,10000,3,32,38307800,0,0,0,0
transform_full_before_select,10000,10000,4,32,33558300,0,0,0,0
transform_full_before_select,10000,10000,5,32,33901100,0,0,0,0
transform_full_before_select,10000,10000,6,32,34408500,0,0,0,0
transform_selected,10000,10000,0,32,33666700,0,0,0,0
transform_selected,10000,10000,1,32,38962000,0,0,0,0
transform_selected,10000,10000,2,32,34168700,0,0,0,0
transform_selected,10000,10000,3,32,37539000,0,0,0,0
transform_selected,10000,10000,4,32,33652900,0,0,0,0
transform_selected,10000,10000,5,32,37317900,0,0,0,0
transform_selected,10000,10000,6,32,36368400,0,0,0,0
binding_full_live_map,10000,10000,0,32,40364200,0,0,0,0
binding_full_live_map,10000,10000,1,32,39761200,0,0,0,0
binding_full_live_map,10000,10000,2,32,38036600,0,0,0,0
binding_full_live_map,10000,10000,3,32,43130900,0,0,0,0
binding_full_live_map,10000,10000,4,32,39429100,0,0,0,0
binding_full_live_map,10000,10000,5,32,37799400,0,0,0,0
binding_full_live_map,10000,10000,6,32,36962300,0,0,0,0
binding_retained_lookup,10000,10000,0,32,23148200,0,0,0,0
binding_retained_lookup,10000,10000,1,32,21374400,0,0,0,0
binding_retained_lookup,10000,10000,2,32,20098900,0,0,0,0
binding_retained_lookup,10000,10000,3,32,16892100,0,0,0,0
binding_retained_lookup,10000,10000,4,32,18224800,0,0,0,0
binding_retained_lookup,10000,10000,5,32,19322700,0,0,0,0
binding_retained_lookup,10000,10000,6,32,13510200,0,0,0,0
binding_visibility_toggle,10000,10000,0,32,56939200,0,0,0,0
