case,n,k,sample,iterations,ns,allocations,reallocations,allocated_bytes,reallocated_bytes
transform_selected,10000,1000,0,32,3049000,0,0,0,0
transform_selected,10000,1000,1,32,2974200,0,0,0,0
transform_selected,10000,1000,2,32,2942100,0,0,0,0
transform_selected,10000,1000,3,32,2921300,0,0,0,0
transform_selected,10000,1000,4,32,2926600,0,0,0,0
transform_selected,10000,1000,5,32,3241200,0,0,0,0
transform_selected,10000,1000,6,32,2943300,0,0,0,0
binding_full_live_map,10000,1000,0,32,7651500,0,0,0,0
binding_full_live_map,10000,1000,1,32,8103600,0,0,0,0
binding_full_live_map,10000,1000,2,32,7726900,0,0,0,0
binding_full_live_map,10000,1000,3,32,8028900,0,0,0,0
binding_full_live_map,10000,1000,4,32,7704000,0,0,0,0
binding_full_live_map,10000,1000,5,32,27666600,0,0,0,0
binding_full_live_map,10000,1000,6,32,8018400,0,0,0,0
binding_retained_lookup,10000,1000,0,32,958300,0,0,0,0
binding_retained_lookup,10000,1000,1,32,965800,0,0,0,0
binding_retained_lookup,10000,1000,2,32,962100,0,0,0,0
binding_retained_lookup,10000,1000,3,32,966800,0,0,0,0
binding_retained_lookup,10000,1000,4,32,998300,0,0,0,0
binding_retained_lookup,10000,1000,5,32,963600,0,0,0,0
binding_retained_lookup,10000,1000,6,32,957200,0,0,0,0
binding_visibility_toggle,10000,1000,0,32,3311700,0,0,0,0
binding_visibility_toggle,10000,1000,1,32,3221900,0,0,0,0
binding_visibility_toggle,10000,1000,2,32,3103200,0,0,0,0
binding_visibility_toggle,10000,1000,3,32,3410400,0,0,0,0
binding_visibility_toggle,10000,1000,4,32,3126100,0,0,0,0
binding_visibility_toggle,10000,1000,5,32,3380600,0,0,0,0
binding_visibility_toggle,10000,1000,6,32,3095700,0,0,0,0
product_selected_probe,10000,100,0,32,409400,0,0,0,0
product_selected_probe,10000,100,1,32,409500,0,0,0,0
product_selected_probe,10000,100,2,32,409400,0,0,0,0
product_selected_probe,10000,100,3,32,414200,0,0,0,0
product_selected_probe,10000,100,4,32,410400,0,0,0,0
product_selected_probe,10000,100,5,32,410000,0,0,0,0
product_selected_probe,10000,100,6,32,415000,0,0,0,0
transform_full_before_select,10000,100,0,32,32307600,0,0,0,0
transform_full_before_select,10000,100,1,32,29689400,0,0,0,0
