case,n,k,sample,iterations,ns,allocations,reallocations,allocated_bytes,reallocated_bytes
runtime_sources,10000,10000,0,32,4552000,0,0,0,0
runtime_sources,10000,10000,1,32,4435400,0,0,0,0
runtime_sources,10000,10000,2,32,4495500,0,0,0,0
runtime_sources,10000,10000,3,32,4402700,0,0,0,0
runtime_sources,10000,10000,4,32,4346500,0,0,0,0
runtime_sources,10000,10000,5,32,4672600,0,0,0,0
runtime_sources,10000,10000,6,32,4327200,0,0,0,0
spatial_full,10000,10000,0,32,40376000,0,0,0,0
spatial_full,10000,10000,1,32,40875700,0,0,0,0
spatial_full,10000,10000,2,32,71182100,0,0,0,0
spatial_full,10000,10000,3,32,80799300,0,0,0,0
spatial_full,10000,10000,4,32,80040500,0,0,0,0
spatial_full,10000,10000,5,32,79761000,0,0,0,0
spatial_full,10000,10000,6,32,74854500,0,0,0,0
record_copy_kernel,10000,10000,0,32,216200,0,0,0,0
record_copy_kernel,10000,10000,1,32,220400,0,0,0,0
record_copy_kernel,10000,10000,2,32,226700,0,0,0,0
record_copy_kernel,10000,10000,3,32,217900,0,0,0,0
record_copy_kernel,10000,10000,4,32,1905600,0,0,0,0
record_copy_kernel,10000,10000,5,32,223000,0,0,0,0
record_copy_kernel,10000,10000,6,32,219000,0,0,0,0
record_swap_kernel,10000,10000,0,32,200,0,0,0,0
record_swap_kernel,10000,10000,1,32,200,0,0,0,0
record_swap_kernel,10000,10000,2,32,100,0,0,0,0
record_swap_kernel,10000,10000,3,32,200,0,0,0,0
record_swap_kernel,10000,10000,4,32,200,0,0,0,0
record_swap_kernel,10000,10000,5,32,200,0,0,0,0
record_swap_kernel,10000,10000,6,32,200,0,0,0,0
adapter_full,10000,10000,0,32,81555200,0,0,0,0
adapter_full,10000,10000,1,32,84172300,0,0,0,0
adapter_full,10000,10000,2,32,86267600,0,0,0,0
adapter_full,10000,10000,3,32,88922500,0,0,0,0
adapter_full,10000,10000,4,32,110041400,0,0,0,0
adapter_full,10000,10000,5,32,121137400,0,0,0,0
adapter_full,10000,10000,6,32,110532600,0,0,0,0
product_selected_probe,10000,10000,0,32,105904900,0,0,0,0
product_selected_probe,10000,10000,1,32,99845400,0,0,0,0
product_selected_probe,10000,10000,2,32,103084600,0,0,0,0
product_selected_probe,10000,10000,3,32,101967500,0,0,0,0
product_selected_probe,10000,10000,4,32,97052800,0,0,0,0
product_selected_probe,10000,10000,5,32,87940500,0,0,0,0
product_selected_probe,10000,10000,6,32,51844900,0,0,0,0
transform_full_before_select,10000,10000,0,32,34680700,0,0,0,0
transform_full_before_select,10000,10000,1,32,34874200,0,0,0,0
transform_full_before_select,10000,10000,2,32,35352900,0,0,0,0
transform_full_before_select,10000,10000,3,32,38438500,0,0,0,0
transform_full_before_select,10000,10000,4,32,37267600,0,0,0,0
transform_full_before_select,10000,10000,5,32,36927400,0,0,0,0
transform_full_before_select,10000,10000,6,32,33147000,0,0,0,0
transform_selected,10000,10000,0,32,36051200,0,0,0,0
transform_selected,10000,10000,1,32,35164700,0,0,0,0
transform_selected,10000,10000,2,32,37921000,0,0,0,0
transform_selected,10000,10000,3,32,35902500,0,0,0,0
transform_selected,10000,10000,4,32,35297200,0,0,0,0
transform_selected,10000,10000,5,32,34962800,0,0,0,0
transform_selected,10000,10000,6,32,36310100,0,0,0,0
binding_full_live_map,10000,10000,0,32,35809100,0,0,0,0
binding_full_live_map,10000,10000,1,32,38940200,0,0,0,0
binding_full_live_map,10000,10000,2,32,44307000,0,0,0,0
binding_full_live_map,10000,10000,3,32,41286100,0,0,0,0
binding_full_live_map,10000,10000,4,32,40014500,0,0,0,0
binding_full_live_map,10000,10000,5,32,35409000,0,0,0,0
binding_full_live_map,10000,10000,6,32,37723900,0,0,0,0
binding_retained_lookup,10000,10000,0,32,23428100,0,0,0,0
binding_retained_lookup,10000,10000,1,32,19637900,0,0,0,0
binding_retained_lookup,10000,10000,2,32,17741100,0,0,0,0
binding_retained_lookup,10000,10000,3,32,21854800,0,0,0,0
binding_retained_lookup,10000,10000,4,32,18399100,0,0,0,0
binding_retained_lookup,10000,10000,5,32,13372600,0,0,0,0
binding_retained_lookup,10000,10000,6,32,13245100,0,0,0,0
binding_visibility_toggle,10000,10000,0,32,45208600,0,0,0,0
binding_visibility_toggle,10000,10000,1,32,45171200,0,0,0,0
binding_visibility_toggle,10000,10000,2,32,48949100,0,0,0,0
binding_visibility_toggle,10000,10000,3,32,59152700,0,0,0,0
binding_visibility_toggle,10000,10000,4,32,52752300,0,0,0,0
binding_visibility_toggle,10000,10000,5,32,45329600,0,0,0,0
binding_visibility_toggle,10000,10000,6,32,44301700,0,0,0,0
product_selected_probe,10000,1000,0,32,5291900,0,0,0,0
