case,n,k,sample,iterations,ns,allocations,reallocations,allocated_bytes,reallocated_bytes
runtime_sources,10000,10000,0,32,5994800,32,384,10485760,10483200
runtime_sources,10000,10000,1,32,6303700,32,384,10485760,10483200
runtime_sources,10000,10000,2,32,5544300,32,384,10485760,10483200
runtime_sources,10000,10000,3,32,6258700,32,384,10485760,10483200
runtime_sources,10000,10000,4,32,5698700,32,384,10485760,10483200
runtime_sources,10000,10000,5,32,6368800,32,384,10485760,10483200
runtime_sources,10000,10000,6,32,5947600,32,384,10485760,10483200
spatial_full,10000,10000,0,32,53678100,0,0,0,0
spatial_full,10000,10000,1,32,53128800,0,0,0,0
spatial_full,10000,10000,2,32,52558400,0,0,0,0
spatial_full,10000,10000,3,32,50954000,0,0,0,0
spatial_full,10000,10000,4,32,58055300,0,0,0,0
spatial_full,10000,10000,5,32,49817700,0,0,0,0
spatial_full,10000,10000,6,32,54187900,0,0,0,0
record_copy_kernel,10000,10000,0,32,310000,0,0,0,0
record_copy_kernel,10000,10000,1,32,369400,0,0,0,0
record_copy_kernel,10000,10000,2,32,278000,0,0,0,0
record_copy_kernel,10000,10000,3,32,220700,0,0,0,0
record_copy_kernel,10000,10000,4,32,243200,0,0,0,0
record_copy_kernel,10000,10000,5,32,245400,0,0,0,0
record_copy_kernel,10000,10000,6,32,400200,0,0,0,0
record_swap_kernel,10000,10000,0,32,200,0,0,0,0
record_swap_kernel,10000,10000,1,32,200,0,0,0,0
record_swap_kernel,10000,10000,2,32,200,0,0,0,0
record_swap_kernel,10000,10000,3,32,200,0,0,0,0
record_swap_kernel,10000,10000,4,32,200,0,0,0,0
record_swap_kernel,10000,10000,5,32,500,0,0,0,0
record_swap_kernel,10000,10000,6,32,200,0,0,0,0
adapter_full,10000,10000,0,32,55881100,32,384,10485760,10483200
adapter_full,10000,10000,1,32,52663900,32,384,10485760,10483200
adapter_full,10000,10000,2,32,57755000,32,384,10485760,10483200
adapter_full,10000,10000,3,32,56602200,32,384,10485760,10483200
adapter_full,10000,10000,4,32,60736700,32,384,10485760,10483200
adapter_full,10000,10000,5,32,60342300,32,384,10485760,10483200
