case,dataset,sample,iterations,ns,allocations,reallocations,allocated_bytes,reallocated_bytes
source_full,all_active_10000,0,32,8099500,0,0,0,0
source_full,all_active_10000,1,32,6431400,0,0,0,0
source_full,all_active_10000,2,32,6014400,0,0,0,0
source_full,all_active_10000,3,32,7889600,0,0,0,0
source_full,all_active_10000,4,32,7804100,0,0,0,0
source_full,all_active_10000,5,32,5962000,0,0,0,0
source_full,all_active_10000,6,32,6051800,0,0,0,0
adapter_full,all_active_10000,0,32,73795000,0,0,0,0
adapter_full,all_active_10000,1,32,74791500,0,0,0,0
adapter_full,all_active_10000,2,32,68148900,0,0,0,0
adapter_full,all_active_10000,3,32,73033700,0,0,0,0
adapter_full,all_active_10000,4,32,75871100,0,0,0,0
adapter_full,all_active_10000,5,32,74102900,0,0,0,0
adapter_full,all_active_10000,6,32,71046800,0,0,0,0
transform_convert,all_active_10000,0,32,533600,0,0,0,0
transform_convert,all_active_10000,1,32,540100,0,0,0,0
transform_convert,all_active_10000,2,32,536100,0,0,0,0
transform_convert,all_active_10000,3,32,559600,0,0,0,0
transform_convert,all_active_10000,4,32,542500,0,0,0,0
transform_convert,all_active_10000,5,32,634000,0,0,0,0
transform_convert,all_active_10000,6,32,383900,0,0,0,0
fresh_output,all_active_10000,0,32,79395700,64,384,16994304,4193280
fresh_output,all_active_10000,1,32,67753200,64,384,16994304,4193280
fresh_output,all_active_10000,2,32,72646600,64,384,16994304,4193280
fresh_output,all_active_10000,3,32,78331500,64,384,16994304,4193280
fresh_output,all_active_10000,4,32,77463100,64,384,16994304,4193280
fresh_output,all_active_10000,5,32,73682700,64,384,16994304,4193280
fresh_output,all_active_10000,6,32,74460100,64,384,16994304,4193280
alternate,all_active_10000,0,32,71270500,0,0,0,0
alternate,all_active_10000,1,32,86383500,0,0,0,0
alternate,all_active_10000,2,32,85016700,0,0,0,0
alternate,all_active_10000,3,32,78971600,0,0,0,0
alternate,all_active_10000,4,32,83001400,0,0,0,0
alternate,all_active_10000,5,32,78200300,0,0,0,0
alternate,all_active_10000,6,32,79235300,0,0,0,0
source_full,all_active_100000,0,32,79085000,0,0,0,0
source_full,all_active_100000,1,32,77720500,0,0,0,0
source_full,all_active_100000,2,32,77147900,0,0,0,0
source_full,all_active_100000,3,32,61677300,0,0,0,0
source_full,all_active_100000,4,32,41358500,0,0,0,0
source_full,all_active_100000,5,32,46861400,0,0,0,0
