case,dataset,sample,iterations,ns,allocations,reallocations,allocated_bytes,reallocated_bytes
source_full,all_active_10000,0,32,4063200,0,0,0,0
source_full,all_active_10000,1,32,4051300,0,0,0,0
source_full,all_active_10000,2,32,4011200,0,0,0,0
source_full,all_active_10000,3,32,4115700,0,0,0,0
source_full,all_active_10000,4,32,4173400,0,0,0,0
source_full,all_active_10000,5,32,4067900,0,0,0,0
source_full,all_active_10000,6,32,4035300,0,0,0,0
adapter_full,all_active_10000,0,32,43148100,0,0,0,0
adapter_full,all_active_10000,1,32,43370400,0,0,0,0
adapter_full,all_active_10000,2,32,79527600,0,0,0,0
adapter_full,all_active_10000,3,32,75773600,0,0,0,0
adapter_full,all_active_10000,4,32,68724600,0,0,0,0
adapter_full,all_active_10000,5,32,89829100,0,0,0,0
adapter_full,all_active_10000,6,32,78099100,0,0,0,0
transform_convert,all_active_10000,0,32,473500,0,0,0,0
transform_convert,all_active_10000,1,32,371700,0,0,0,0
transform_convert,all_active_10000,2,32,364500,0,0,0,0
transform_convert,all_active_10000,3,32,383900,0,0,0,0
transform_convert,all_active_10000,4,32,367500,0,0,0,0
transform_convert,all_active_10000,5,32,395100,0,0,0,0
transform_convert,all_active_10000,6,32,383500,0,0,0,0
fresh_output,all_active_10000,0,32,95750700,0,0,0,0
fresh_output,all_active_10000,1,32,85177000,0,0,0,0
fresh_output,all_active_10000,2,32,93999700,0,0,0,0
fresh_output,all_active_10000,3,32,51012400,0,0,0,0
fresh_output,all_active_10000,4,32,52321400,0,0,0,0
fresh_output,all_active_10000,5,32,50066700,0,0,0,0
fresh_output,all_active_10000,6,32,48601000,0,0,0,0
alternate,all_active_10000,0,32,70863600,0,0,0,0
alternate,all_active_10000,1,32,74167700,0,0,0,0
alternate,all_active_10000,2,32,71628100,0,0,0,0
alternate,all_active_10000,3,32,65003800,0,0,0,0
alternate,all_active_10000,4,32,64060800,0,0,0,0
alternate,all_active_10000,5,32,66502900,0,0,0,0
alternate,all_active_10000,6,32,68692800,0,0,0,0
source_full,all_active_100000,0,32,64257100,0,0,0,0
source_full,all_active_100000,1,32,65387000,0,0,0,0
source_full,all_active_100000,2,32,71131600,0,0,0,0
source_full,all_active_100000,3,32,77377700,0,0,0,0
source_full,all_active_100000,4,32,67992200,0,0,0,0
source_full,all_active_100000,5,32,64109000,0,0,0,0
source_full,all_active_100000,6,32,64680100,0,0,0,0
adapter_full,all_active_100000,0,32,564524100,0,0,0,0
adapter_full,all_active_100000,1,32,453613900,0,0,0,0
adapter_full,all_active_100000,2,32,447088300,0,0,0,0
adapter_full,all_active_100000,3,32,443655900,0,0,0,0
adapter_full,all_active_100000,4,32,447207400,0,0,0,0
adapter_full,all_active_100000,5,32,452697000,0,0,0,0
adapter_full,all_active_100000,6,32,442255500,0,0,0,0
transform_convert,all_active_100000,0,32,5260000,0,0,0,0
transform_convert,all_active_100000,1,32,5093500,0,0,0,0
transform_convert,all_active_100000,2,32,4313800,0,0,0,0
transform_convert,all_active_100000,3,32,4381800,0,0,0,0
transform_convert,all_active_100000,4,32,4422000,0,0,0,0
transform_convert,all_active_100000,5,32,4728000,0,0,0,0
transform_convert,all_active_100000,6,32,4577000,0,0,0,0
fresh_output,all_active_100000,0,32,480226000,0,0,0,0
fresh_output,all_active_100000,1,32,476947100,0,0,0,0
fresh_output,all_active_100000,2,32,486148500,0,0,0,0
fresh_output,all_active_100000,3,32,472732400,0,0,0,0
fresh_output,all_active_100000,4,32,472815000,0,0,0,0
fresh_output,all_active_100000,5,32,471455800,0,0,0,0
fresh_output,all_active_100000,6,32,475087700,0,0,0,0
alternate,all_active_100000,0,32,448686300,0,0,0,0
alternate,all_active_100000,1,32,441903400,0,0,0,0
alternate,all_active_100000,2,32,444371100,0,0,0,0
alternate,all_active_100000,3,32,452419200,0,0,0,0
alternate,all_active_100000,4,32,615962300,0,0,0,0
alternate,all_active_100000,5,32,494262200,0,0,0,0
alternate,all_active_100000,6,32,443567000,0,0,0,0
source_full,mixed_parking_10000,0,32,11853300,0,0,0,0
source_full,mixed_parking_10000,1,32,9534000,0,0,0,0
source_full,mixed_parking_10000,2,32,9221400,0,0,0,0
source_full,mixed_parking_10000,3,32,10033400,0,0,0,0
source_full,mixed_parking_10000,4,32,9001100,0,0,0,0
source_full,mixed_parking_10000,5,32,8876800,0,0,0,0
source_full,mixed_parking_10000,6,32,8813900,0,0,0,0
adapter_full,mixed_parking_10000,0,32,29928400,0,0,0,0
adapter_full,mixed_parking_10000,1,32,30333600,0,0,0,0
adapter_full,mixed_parking_10000,2,32,31529000,0,0,0,0
adapter_full,mixed_parking_10000,3,32,32231100,0,0,0,0
adapter_full,mixed_parking_10000,4,32,32424900,0,0,0,0
adapter_full,mixed_parking_10000,5,32,56644500,0,0,0,0
adapter_full,mixed_parking_10000,6,32,30931700,0,0,0,0
transform_convert,mixed_parking_10000,0,32,207100,0,0,0,0
transform_convert,mixed_parking_10000,1,32,187200,0,0,0,0
transform_convert,mixed_parking_10000,2,32,188800,0,0,0,0
transform_convert,mixed_parking_10000,3,32,188600,0,0,0,0
transform_convert,mixed_parking_10000,4,32,189200,0,0,0,0
transform_convert,mixed_parking_10000,5,32,189000,0,0,0,0
transform_convert,mixed_parking_10000,6,32,189000,0,0,0,0
source_full,mixed_parking_100000,0,32,125072800,0,0,0,0
source_full,mixed_parking_100000,1,32,129993500,0,0,0,0
source_full,mixed_parking_100000,2,32,129378300,0,0,0,0
source_full,mixed_parking_100000,3,32,129475900,0,0,0,0
source_full,mixed_parking_100000,4,32,137537400,0,0,0,0
source_full,mixed_parking_100000,5,32,127990200,0,0,0,0
source_full,mixed_parking_100000,6,32,129278400,0,0,0,0
adapter_full,mixed_parking_100000,0,32,341483300,0,0,0,0
adapter_full,mixed_parking_100000,1,32,339445300,0,0,0,0
adapter_full,mixed_parking_100000,2,32,350883600,0,0,0,0
adapter_full,mixed_parking_100000,3,32,414678100,0,0,0,0
adapter_full,mixed_parking_100000,4,32,365223200,0,0,0,0
adapter_full,mixed_parking_100000,5,32,359796600,0,0,0,0
adapter_full,mixed_parking_100000,6,32,330832800,0,0,0,0
transform_convert,mixed_parking_100000,0,32,2183400,0,0,0,0
transform_convert,mixed_parking_100000,1,32,1962200,0,0,0,0
transform_convert,mixed_parking_100000,2,32,1969200,0,0,0,0
