case,dataset,sample,iterations,ns,allocations,reallocations,allocated_bytes,reallocated_bytes
source_full,mixed_parking_100000,4,32,144599400,0,0,0,0
source_full,mixed_parking_100000,5,32,139740900,0,0,0,0
source_full,mixed_parking_100000,6,32,139521800,0,0,0,0
adapter_full,mixed_parking_100000,0,32,401143800,0,0,0,0
adapter_full,mixed_parking_100000,1,32,391917100,0,0,0,0
adapter_full,mixed_parking_100000,2,32,383689700,0,0,0,0
adapter_full,mixed_parking_100000,3,32,372400900,0,0,0,0
adapter_full,mixed_parking_100000,4,32,371996400,0,0,0,0
adapter_full,mixed_parking_100000,5,32,373311300,0,0,0,0
adapter_full,mixed_parking_100000,6,32,375622900,0,0,0,0
transform_convert,mixed_parking_100000,0,32,2155700,0,0,0,0
transform_convert,mixed_parking_100000,1,32,2093200,0,0,0,0
transform_convert,mixed_parking_100000,2,32,1983500,0,0,0,0
transform_convert,mixed_parking_100000,3,32,1927300,0,0,0,0
transform_convert,mixed_parking_100000,4,32,2455400,0,0,0,0
transform_convert,mixed_parking_100000,5,32,1918200,0,0,0,0
transform_convert,mixed_parking_100000,6,32,1936400,0,0,0,0
source_full,high_completed_10000,0,32,1860900,0,0,0,0
source_full,high_completed_10000,1,32,1873500,0,0,0,0
source_full,high_completed_10000,2,32,1877500,0,0,0,0
source_full,high_completed_10000,3,32,1872100,0,0,0,0
source_full,high_completed_10000,4,32,1960200,0,0,0,0
source_full,high_completed_10000,5,32,2520700,0,0,0,0
source_full,high_completed_10000,6,32,1824700,0,0,0,0
adapter_full,high_completed_10000,0,32,5781800,0,0,0,0
adapter_full,high_completed_10000,1,32,5959800,0,0,0,0
adapter_full,high_completed_10000,2,32,5637900,0,0,0,0
adapter_full,high_completed_10000,3,32,5647500,0,0,0,0
adapter_full,high_completed_10000,4,32,6010600,0,0,0,0
adapter_full,high_completed_10000,5,32,5794400,0,0,0,0
adapter_full,high_completed_10000,6,32,5903000,0,0,0,0
transform_convert,high_completed_10000,0,32,36800,0,0,0,0
transform_convert,high_completed_10000,1,32,36600,0,0,0,0
transform_convert,high_completed_10000,2,32,36500,0,0,0,0
transform_convert,high_completed_10000,3,32,36400,0,0,0,0
transform_convert,high_completed_10000,4,32,36400,0,0,0,0
transform_convert,high_completed_10000,5,32,36400,0,0,0,0
transform_convert,high_completed_10000,6,32,36600,0,0,0,0
source_full,sparse_presentable_10000,0,32,15424000,0,0,0,0
source_full,sparse_presentable_10000,1,32,14402400,0,0,0,0
source_full,sparse_presentable_10000,2,32,13909900,0,0,0,0
source_full,sparse_presentable_10000,3,32,14378200,0,0,0,0
source_full,sparse_presentable_10000,4,32,15029100,0,0,0,0
