case,records,sample,iterations,ns,allocations,reallocations,allocated_bytes,reallocated_bytes
fresh_output,10000,0,32,38809200,32,0,12800000,0
fresh_output,10000,1,32,38859000,32,0,12800000,0
fresh_output,10000,2,32,71730300,32,0,12800000,0
fresh_output,10000,3,32,71277400,32,0,12800000,0
fresh_output,10000,4,32,41794900,32,0,12800000,0
fresh_output,10000,5,32,70339100,32,0,12800000,0
fresh_output,10000,6,32,104165300,32,0,12800000,0
