case,dataset,sample,iterations,ns,allocations,reallocations,allocated_bytes,reallocated_bytes
source_full,all_active_10000,0,32,4910900,0,0,0,0
source_full,all_active_10000,1,32,5413100,0,0,0,0
source_full,all_active_10000,2,32,5100400,0,0,0,0
source_full,all_active_10000,3,32,5110000,0,0,0,0
source_full,all_active_10000,4,32,5199100,0,0,0,0
source_full,all_active_10000,5,32,4785700,0,0,0,0
source_full,all_active_10000,6,32,4884400,0,0,0,0
adapter_full,all_active_10000,0,32,55506900,0,0,0,0
adapter_full,all_active_10000,1,32,91781200,0,0,0,0
adapter_full,all_active_10000,2,32,97390500,0,0,0,0
adapter_full,all_active_10000,3,32,100046500,0,0,0,0
adapter_full,all_active_10000,4,32,102692700,0,0,0,0
adapter_full,all_active_10000,5,32,108819300,0,0,0,0
adapter_full,all_active_10000,6,32,111531200,0,0,0,0
transform_convert,all_active_10000,0,32,402100,0,0,0,0
transform_convert,all_active_10000,1,32,504000,0,0,0,0
transform_convert,all_active_10000,2,32,478200,0,0,0,0
transform_convert,all_active_10000,3,32,460000,0,0,0,0
transform_convert,all_active_10000,4,32,480600,0,0,0,0
transform_convert,all_active_10000,5,32,409300,0,0,0,0
transform_convert,all_active_10000,6,32,463600,0,0,0,0
fresh_output,all_active_10000,0,32,116936600,0,0,0,0
fresh_output,all_active_10000,1,32,92975900,0,0,0,0
fresh_output,all_active_10000,2,32,103681200,0,0,0,0
fresh_output,all_active_10000,3,32,103845100,0,0,0,0
fresh_output,all_active_10000,4,32,109285200,0,0,0,0
fresh_output,all_active_10000,5,32,107888300,0,0,0,0
fresh_output,all_active_10000,6,32,115439800,0,0,0,0
alternate,all_active_10000,0,32,75051200,0,0,0,0
alternate,all_active_10000,1,32,86044100,0,0,0,0
alternate,all_active_10000,2,32,83777500,0,0,0,0
alternate,all_active_10000,3,32,85713000,0,0,0,0
alternate,all_active_10000,4,32,85213700,0,0,0,0
alternate,all_active_10000,5,32,82575300,0,0,0,0
alternate,all_active_10000,6,32,89450800,0,0,0,0
source_full,all_active_100000,0,32,110699900,0,0,0,0
source_full,all_active_100000,1,32,85878100,0,0,0,0
source_full,all_active_100000,2,32,84743600,0,0,0,0
source_full,all_active_100000,3,32,101671700,0,0,0,0
source_full,all_active_100000,4,32,86529100,0,0,0,0
source_full,all_active_100000,5,32,87992200,0,0,0,0
source_full,all_active_100000,6,32,90428600,0,0,0,0
adapter_full,all_active_100000,0,32,496730600,0,0,0,0
adapter_full,all_active_100000,1,32,483564100,0,0,0,0
adapter_full,all_active_100000,2,32,482594500,0,0,0,0
adapter_full,all_active_100000,3,32,496203500,0,0,0,0
adapter_full,all_active_100000,4,32,482981900,0,0,0,0
adapter_full,all_active_100000,5,32,486498100,0,0,0,0
adapter_full,all_active_100000,6,32,481455200,0,0,0,0
transform_convert,all_active_100000,0,32,4508700,0,0,0,0
transform_convert,all_active_100000,1,32,5366200,0,0,0,0
transform_convert,all_active_100000,2,32,4452400,0,0,0,0
transform_convert,all_active_100000,3,32,4252100,0,0,0,0
transform_convert,all_active_100000,4,32,4335700,0,0,0,0
transform_convert,all_active_100000,5,32,4715000,0,0,0,0
transform_convert,all_active_100000,6,32,7846300,0,0,0,0
fresh_output,all_active_100000,0,32,507099200,0,0,0,0
fresh_output,all_active_100000,1,32,505290400,0,0,0,0
fresh_output,all_active_100000,2,32,515757200,0,0,0,0
fresh_output,all_active_100000,3,32,512575800,0,0,0,0
fresh_output,all_active_100000,4,32,511075900,0,0,0,0
fresh_output,all_active_100000,5,32,520494900,0,0,0,0
fresh_output,all_active_100000,6,32,536586200,0,0,0,0
alternate,all_active_100000,0,32,617536000,0,0,0,0
alternate,all_active_100000,1,32,537774300,0,0,0,0
alternate,all_active_100000,2,32,489823900,0,0,0,0
alternate,all_active_100000,3,32,487040100,0,0,0,0
alternate,all_active_100000,4,32,487596300,0,0,0,0
alternate,all_active_100000,5,32,505355200,0,0,0,0
alternate,all_active_100000,6,32,481855600,0,0,0,0
source_full,mixed_parking_10000,0,32,12021100,0,0,0,0
source_full,mixed_parking_10000,1,32,11907800,0,0,0,0
source_full,mixed_parking_10000,2,32,11586300,0,0,0,0
source_full,mixed_parking_10000,3,32,11462700,0,0,0,0
source_full,mixed_parking_10000,4,32,11175400,0,0,0,0
source_full,mixed_parking_10000,5,32,11880300,0,0,0,0
source_full,mixed_parking_10000,6,32,11919200,0,0,0,0
