active,parked,commands,success_percent,order,shape,group,digest,A_n,A_p50,A_p95,A_p99,A_max,B_n,B_p50,B_p95,B_p99,B_max,Acontrol_n,Acontrol_p50,Acontrol_p95,Acontrol_p99,Acontrol_max,p50_change_percent,aa_p50_change_percent,round1_change_percent,round1_aa_percent,round2_change_percent,round2_aa_percent,round3_change_percent,round3_aa_percent
1024,64,64,100,0,normal,batch,ff00c29d7d9c95b1a26c6c3083c100da2f4c3f1d4630c5baee1abe1ce24fd0a5,48,2933900.0,4223500,4530000,4530000,48,2667900.0,3791700,3975400,3975400,48,2822600.0,3928800,4438900,4438900,-9.06643034868264,-3.7935853301066857,-6.346760194140366,-0.2887306479611773,-23.506027927953976,-18.634536991529092,1.7874644140570384,5.023257261088032
1024,64,64,100,0,normal,cold_success,ff00c29d7d9c95b1a26c6c3083c100da2f4c3f1d4630c5baee1abe1ce24fd0a5,48,49000.0,77200,83300,83300,48,46200.0,70600,89900,89900,48,48450.0,70900,73400,73400,-5.714285714285716,-1.122448979591839,-0.7786429365962189,2.2246941045606317,-30.087094220110842,-28.18685669041964,27.821782178217823,26.831683168316832
1024,64,64,100,0,normal,warm_success,ff00c29d7d9c95b1a26c6c3083c100da2f4c3f1d4630c5baee1abe1ce24fd0a5,3024,44400.0,69900,76900,165600,3024,41400.0,62400,68400,86700,3024,44000.0,66400,71600,264000,-6.756756756756754,-0.9009009009009028,-6.378132118451029,-0.2277904328018221,-22.67168391345249,-17.77986829727187,17.937219730941713,13.789237668161425
1024,4096,1,0,0,normal,batch,5c5533825aeaab0c1a1c3941f0f1c0f61c557edf2a0820337aa4551138186374,48,52350.0,74400,81100,81100,48,46550.0,67400,99700,99700,48,46400.0,73200,84700,84700,-11.079274116523397,-11.365807067812794,-6.849315068493156,-5.584826132771337,-25.099601593625497,-31.474103585657375,-18.45528455284553,-9.756097560975608
1024,4096,1,0,0,normal,rejected,5c5533825aeaab0c1a1c3941f0f1c0f61c557edf2a0820337aa4551138186374,48,52350.0,74400,81100,81100,48,46550.0,67400,99700,99700,48,46400.0,73200,84700,84700,-11.079274116523397,-11.365807067812794,-6.849315068493156,-5.584826132771337,-25.099601593625497,-31.474103585657375,-18.45528455284553,-9.756097560975608
1024,4096,1,100,0,normal,batch,8e05aadfd4df0487dc214fa85a7fc66d6637dc6590015049a27ac9db8212abf2,48,61100.0,91000,110500,110500,48,54750.0,81500,92400,92400,48,56600.0,84300,86700,86700,-10.392798690671034,-7.364975450081834,-1.5356820234869062,-0.8130081300813052,3.3717105263157965,-9.292763157894735,-31.036662452591656,-1.7067003792667457
1024,4096,1,100,0,normal,cold_success,8e05aadfd4df0487dc214fa85a7fc66d6637dc6590015049a27ac9db8212abf2,48,61100.0,91000,110500,110500,48,54750.0,81500,92400,92400,48,56600.0,84300,86700,86700,-10.392798690671034,-7.364975450081834,-1.5356820234869062,-0.8130081300813052,3.3717105263157965,-9.292763157894735,-31.036662452591656,-1.7067003792667457
1024,4096,16,0,0,normal,batch,5c5533825aeaab0c1a1c3941f0f1c0f61c557edf2a0820337aa4551138186374,48,257250.0,381500,408200,408200,48,246950.0,379200,410400,410400,48,244450.0,373900,394800,394800,-4.003887269193395,-4.975704567541306,-0.6394389438943882,-0.8044554455445496,-3.8878143133462273,-7.001934235976792,-12.304216867469876,-9.156626506024102
1024,4096,16,0,0,normal,rejected,5c5533825aeaab0c1a1c3941f0f1c0f61c557edf2a0820337aa4551138186374,768,13100.0,43900,68100,86900,768,13200.0,43500,65300,75400,768,13100.0,43400,62900,84900,0.7633587786259444,0.0,0.0,-0.7633587786259555,0.7633587786259444,-0.7633587786259555,-10.626702997275206,-2.1798365122615793
1024,4096,16,50,0,normal,batch,2a0841b593f622e0fd8cb25dae752abdfc54d712d5bdd98256aed93fe15d7e41,48,569350.0,882300,1089900,1089900,48,482050.0,674100,709400,709400,48,551450.0,778600,845700,845700,-15.333274787037855,-3.14393606744533,-10.386450828108917,2.0117900252643484,-24.606157536985208,-13.050779688124747,-13.150934038684081,-0.8431145643908122
