case,dataset,sample,iterations,ns,allocations,reallocations,allocated_bytes,reallocated_bytes
source_full,all_active_10000,0,32,13235200,0,0,0,0
source_full,all_active_10000,1,32,14863600,0,0,0,0
source_full,all_active_10000,2,32,13807200,0,0,0,0
source_full,all_active_10000,3,32,13702500,0,0,0,0
source_full,all_active_10000,4,32,14909400,0,0,0,0
source_full,all_active_10000,5,32,15960200,0,0,0,0
source_full,all_active_10000,6,32,13755700,0,0,0,0
adapter_full,all_active_10000,0,32,60895600,0,0,0,0
adapter_full,all_active_10000,1,32,86699700,0,0,0,0
adapter_full,all_active_10000,2,32,77979000,0,0,0,0
adapter_full,all_active_10000,3,32,73519900,0,0,0,0
adapter_full,all_active_10000,4,32,83000200,0,0,0,0
adapter_full,all_active_10000,5,32,76910000,0,0,0,0
adapter_full,all_active_10000,6,32,88466900,0,0,0,0
transform_convert,all_active_10000,0,32,411400,0,0,0,0
transform_convert,all_active_10000,1,32,655100,0,0,0,0
transform_convert,all_active_10000,2,32,628600,0,0,0,0
transform_convert,all_active_10000,3,32,676600,0,0,0,0
transform_convert,all_active_10000,4,32,431500,0,0,0,0
transform_convert,all_active_10000,5,32,385100,0,0,0,0
transform_convert,all_active_10000,6,32,454500,0,0,0,0
fresh_output,all_active_10000,0,32,95228900,0,0,0,0
fresh_output,all_active_10000,1,32,109526200,0,0,0,0
fresh_output,all_active_10000,2,32,84566500,0,0,0,0
fresh_output,all_active_10000,3,32,83717000,0,0,0,0
fresh_output,all_active_10000,4,32,98731600,0,0,0,0
fresh_output,all_active_10000,5,32,97783000,0,0,0,0
fresh_output,all_active_10000,6,32,107116000,0,0,0,0
alternate,all_active_10000,0,32,79737200,0,0,0,0
alternate,all_active_10000,1,32,83228700,0,0,0,0
alternate,all_active_10000,2,32,82631200,0,0,0,0
alternate,all_active_10000,3,32,83053100,0,0,0,0
alternate,all_active_10000,4,32,79806000,0,0,0,0
alternate,all_active_10000,5,32,79928200,0,0,0,0
alternate,all_active_10000,6,32,72891700,0,0,0,0
source_full,all_active_100000,0,32,79530600,0,0,0,0
source_full,all_active_100000,1,32,78632000,0,0,0,0
source_full,all_active_100000,2,32,92228300,0,0,0,0
source_full,all_active_100000,3,32,75343100,0,0,0,0
source_full,all_active_100000,4,32,83844400,0,0,0,0
source_full,all_active_100000,5,32,75009300,0,0,0,0
source_full,all_active_100000,6,32,75548900,0,0,0,0
